"group_id"	"tissue_fov"	"IT.Treatment.before.collection"	"lasso_final"	"Source"
"RCC4-18_Pembrolizumab and Axitnib_Non-classical monocyte_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Non-classical monocyte"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Plasmacytoid dendritic cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Regulatory T cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Regulatory T cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Tumor_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Tumor"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Vasa recta endothelium_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Vasa recta endothelium"	"Stroma"
"RCC4-19_Pembrolizumab and Axitnib_B cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"B cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Capillary endothelium_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Capillary endothelium"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_CD8 T cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"CD8 T cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Collecting duct cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Collecting duct cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Epithelial progenitor cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Epithelial progenitor cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Fibroblast_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Fibroblast"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_gdT cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"gdT cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Intermediate monocyte_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Intermediate monocyte"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_M1 Macrophage (STAT1)_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_M2 macrophage (CD163)_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Mast cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Mast cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Myeloid DC_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Myeloid DC"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Myofibroblast_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Myofibroblast"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Naive T cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Naive T cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Neutrophil_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Neutrophil"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_NK cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"NK cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Pelvic epithelium_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Pelvic epithelium"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Plasmacytoid dendritic cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Proximal tubule_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Proximal tubule"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Regulatory T cell_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Regulatory T cell"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Tumor_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Tumor"	"Tumor"
"RCC4-19_Pembrolizumab and Axitnib_Vasa recta endothelium_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Vasa recta endothelium"	"Tumor"
"RCC4-2_Ipi + Nivo_B cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"B cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Capillary endothelium_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Capillary endothelium"	"Stroma"
"RCC4-2_Ipi + Nivo_CD8 T cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"CD8 T cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Collecting duct cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Collecting duct cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Fibroblast_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Fibroblast"	"Stroma"
"RCC4-2_Ipi + Nivo_gdT cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"gdT cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Intermediate monocyte_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Intermediate monocyte"	"Stroma"
"RCC4-2_Ipi + Nivo_M1 Macrophage (STAT1)_Stroma"	"RCC4-2"	"Ipi + Nivo"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC4-2_Ipi + Nivo_M2 macrophage (CD163)_Stroma"	"RCC4-2"	"Ipi + Nivo"	"M2 macrophage (CD163)"	"Stroma"
"RCC4-2_Ipi + Nivo_Myeloid DC_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Myeloid DC"	"Stroma"
"RCC4-2_Ipi + Nivo_Myofibroblast_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Myofibroblast"	"Stroma"
"RCC4-2_Ipi + Nivo_Naive B cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Naive B cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Naive CD4 T cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Naive CD4 T cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Naive T cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Naive T cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Neutrophil_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Neutrophil"	"Stroma"
"RCC4-2_Ipi + Nivo_NK cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"NK cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Plasmacytoid dendritic cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Podocyte_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Podocyte"	"Stroma"
"RCC4-2_Ipi + Nivo_Possibly Mid-Rep (Misc. Cells)_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Possibly Mid-Rep (Misc. Cells)"	"Stroma"
"RCC4-2_Ipi + Nivo_Regulatory T cell_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Regulatory T cell"	"Stroma"
"RCC4-2_Ipi + Nivo_Tumor_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Tumor"	"Stroma"
"RCC4-2_Ipi + Nivo_Vasa recta endothelium_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Vasa recta endothelium"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_B cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"B cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_CD8 T cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"CD8 T cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Collecting duct cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Collecting duct cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Epithelial progenitor cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Epithelial progenitor cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Fibroblast_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Fibroblast"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_gdT cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"gdT cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Intermediate monocyte_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Intermediate monocyte"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_M1 Macrophage (STAT1)_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_M2 macrophage (CD163)_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"M2 macrophage (CD163)"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Mast cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Mast cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Myeloid DC_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Myeloid DC"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Myofibroblast_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Myofibroblast"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Naive B cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Naive B cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Naive CD4 T cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Naive CD4 T cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Naive T cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Naive T cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Neutrophil_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Neutrophil"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_NK cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"NK cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Non-classical monocyte_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Non-classical monocyte"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Plasmacytoid dendritic cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Possibly Mid-Rep (Misc. Cells)_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Possibly Mid-Rep (Misc. Cells)"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Proximal tubule_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Proximal tubule"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Regulatory T cell_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Regulatory T cell"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Tumor_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Tumor"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Vasa recta endothelium_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Vasa recta endothelium"	"Stroma"
"RCC4-21_Pembrolizumab and Axitnib_B cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"B cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Capillary endothelium_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Capillary endothelium"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_CD8 T cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"CD8 T cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Collecting duct cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Collecting duct cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Epithelial progenitor cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Epithelial progenitor cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Fibroblast_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Fibroblast"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_gdT cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"gdT cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Intercalated Cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Intercalated Cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Intermediate monocyte_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Intermediate monocyte"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_M1 Macrophage (STAT1)_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_M2 macrophage (CD163)_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Myeloid DC_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Myeloid DC"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Myofibroblast_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Myofibroblast"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Naive CD4 T cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Naive CD4 T cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Neutrophil_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Neutrophil"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_NK cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"NK cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Non-classical monocyte_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Non-classical monocyte"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Plasmacytoid dendritic cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Podocyte_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Podocyte"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Principal cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Principal cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Proximal tubule_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Proximal tubule"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Regulatory T cell_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Regulatory T cell"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Tumor_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Tumor"	"Tumor"
"RCC4-21_Pembrolizumab and Axitnib_Vasa recta endothelium_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Vasa recta endothelium"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_B cell_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"B cell"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Capillary endothelium_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Capillary endothelium"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_CD8 T cell_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"CD8 T cell"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Collecting duct cell_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Collecting duct cell"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Fibroblast_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Fibroblast"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_gdT cell_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"gdT cell"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Intermediate monocyte_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Intermediate monocyte"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_M1 Macrophage (STAT1)_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_M2 macrophage (CD163)_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Myeloid DC_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Myeloid DC"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Myofibroblast_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Myofibroblast"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Naive B cell_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Naive B cell"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Naive T cell_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Naive T cell"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Neutrophil_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Neutrophil"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_NK cell_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"NK cell"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Proximal tubule_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Proximal tubule"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Regulatory T cell_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Regulatory T cell"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Tumor_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Tumor"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Vasa recta endothelium_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Vasa recta endothelium"	"Tumor"
"RCC4-3_Ipi + Nivo_Capillary endothelium_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Capillary endothelium"	"Tumor"
"RCC4-3_Ipi + Nivo_CD8 T cell_Tumor"	"RCC4-3"	"Ipi + Nivo"	"CD8 T cell"	"Tumor"
"RCC4-3_Ipi + Nivo_Collecting duct cell_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Collecting duct cell"	"Tumor"
"RCC4-3_Ipi + Nivo_Fibroblast_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Fibroblast"	"Tumor"
"RCC4-3_Ipi + Nivo_gdT cell_Tumor"	"RCC4-3"	"Ipi + Nivo"	"gdT cell"	"Tumor"
"RCC4-3_Ipi + Nivo_Intermediate monocyte_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Intermediate monocyte"	"Tumor"
"RCC4-3_Ipi + Nivo_M1 Macrophage (STAT1)_Tumor"	"RCC4-3"	"Ipi + Nivo"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-3_Ipi + Nivo_M2 macrophage (CD163)_Tumor"	"RCC4-3"	"Ipi + Nivo"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-3_Ipi + Nivo_Myeloid DC_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Myeloid DC"	"Tumor"
"RCC4-3_Ipi + Nivo_Myofibroblast_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Myofibroblast"	"Tumor"
"RCC4-3_Ipi + Nivo_Naive B cell_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Naive B cell"	"Tumor"
"RCC4-3_Ipi + Nivo_Naive T cell_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Naive T cell"	"Tumor"
"RCC4-3_Ipi + Nivo_Neutrophil_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Neutrophil"	"Tumor"
"RCC4-3_Ipi + Nivo_NK cell_Tumor"	"RCC4-3"	"Ipi + Nivo"	"NK cell"	"Tumor"
"RCC4-3_Ipi + Nivo_Plasmacytoid dendritic cell_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC4-3_Ipi + Nivo_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
"RCC4-3_Ipi + Nivo_Regulatory T cell_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Regulatory T cell"	"Tumor"
"RCC4-3_Ipi + Nivo_Tumor_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Tumor"	"Tumor"
"RCC4-3_Ipi + Nivo_Vasa recta endothelium_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Vasa recta endothelium"	"Tumor"
"RCC4-4_Ipi + Nivo_B cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"B cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Capillary endothelium_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Capillary endothelium"	"Stroma"
"RCC4-4_Ipi + Nivo_CD8 T cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"CD8 T cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Collecting duct cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Collecting duct cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Epithelial progenitor cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Epithelial progenitor cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Fibroblast_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Fibroblast"	"Stroma"
"RCC4-4_Ipi + Nivo_gdT cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"gdT cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Glomerular endothelium_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Glomerular endothelium"	"Stroma"
"RCC4-4_Ipi + Nivo_Intermediate monocyte_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Intermediate monocyte"	"Stroma"
"RCC4-4_Ipi + Nivo_M1 Macrophage (STAT1)_Stroma"	"RCC4-4"	"Ipi + Nivo"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC4-4_Ipi + Nivo_M2 macrophage (CD163)_Stroma"	"RCC4-4"	"Ipi + Nivo"	"M2 macrophage (CD163)"	"Stroma"
"RCC4-4_Ipi + Nivo_Mast cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Mast cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Myeloid DC_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Myeloid DC"	"Stroma"
"RCC4-4_Ipi + Nivo_Myofibroblast_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Myofibroblast"	"Stroma"
"RCC4-4_Ipi + Nivo_Naive B cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Naive B cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Naive CD4 T cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Naive CD4 T cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Naive T cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Naive T cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Neutrophil_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Neutrophil"	"Stroma"
"RCC4-4_Ipi + Nivo_NK cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"NK cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Non-classical monocyte_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Non-classical monocyte"	"Stroma"
"RCC4-4_Ipi + Nivo_Plasmacytoid dendritic cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Possibly Mid-Rep (Misc. Cells)_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Possibly Mid-Rep (Misc. Cells)"	"Stroma"
"RCC4-4_Ipi + Nivo_Principal cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Principal cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Proximal tubule_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Proximal tubule"	"Stroma"
"RCC4-4_Ipi + Nivo_Regulatory T cell_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Regulatory T cell"	"Stroma"
"RCC4-4_Ipi + Nivo_Tumor_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Tumor"	"Stroma"
"RCC4-4_Ipi + Nivo_Vasa recta endothelium_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Vasa recta endothelium"	"Stroma"
"RCC4-5_Pembrolizumab and Axitnib_B cell_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"B cell"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Capillary endothelium_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Capillary endothelium"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_CD8 T cell_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"CD8 T cell"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Collecting duct cell_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Collecting duct cell"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Fibroblast_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Fibroblast"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_gdT cell_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"gdT cell"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Intermediate monocyte_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Intermediate monocyte"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_M1 Macrophage (STAT1)_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_M2 macrophage (CD163)_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Mast cell_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Mast cell"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Myeloid DC_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Myeloid DC"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Myofibroblast_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Myofibroblast"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Naive B cell_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Naive B cell"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Naive T cell_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Naive T cell"	"Tumor"
"RCC4-5_Pembrolizumab and Axitnib_Neutrophil_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Neutrophil"	"Tumor"
